71,198
137,198
73,91
8,65
39,65
90,91
95,137
62,73
65,141
90,96
137,139
29,154
11,31,33
91,109,129
1,33,65
4,73,145
9,91,140
62,91,196
9,55,73
72,172,196
66,95,137
90,107,154
31,154,198
90,151,196
71,73,90
73,91,137
65,154,198
102,129,165
8,33,62
33,91,96
73,91,139
25,65,73
91,95,198
33,62,80
65,154,182
33,62,91,95
62,71,90,198
2,33,73,128
62,65,90,135
62,65,71,91
42,62,90,165
62,90,91,95
35,71,95,198
2,8,65,91
44,65,137,198
33,65,95,137
62,65,72,198
39,55,65,196
29,65,90,141
65,71,90,137
95,121,137,193
73,82,137,198
62,65,137,139
42,62,73,91
39,62,65,198
35,62,90,91
91,165,193,198
42,62,73,139
62,90,137,196
42,65,73,91
33,56,90,96
28,33,65,180
90,91,159,189
14,31,40,62
33,60,73,132
9,65,90,116
28,29,90,154
6,65,73,95
91,129,137,198
2,65,137,165
62,65,71,73,90,137,198
1,33,62,65,71,73,141
21,62,65,71,73,137,198
62,65,73,83,90,137,198
31,62,65,90,137,165,198
4,41,55,73,91,126,145
8,62,65,73,90,91,155
33,55,62,65,71,73,95
33,62,65,71,90,91,149
11,28,31,73,93,154,198
33,65,71,80,91,95,198
8,33,62,73,91,95,183
25,65,73,86,91,138,196
19,38,42,65,91,137,196
21,33,62,69,73,91,198
9,31,33,42,65,108,126
33,65,71,80,127,141,200
33,42,71,90,95,96,193
62,65,71,83,95,137,198
33,62,65,71,80,91,198
1,33,62,65,73,80,198
1,71,73,80,90,91,198
11,28,31,33,65,90,93
33,62,65,90,91,141,198
19,72,90,98,165,182,198
31,62,72,91,108,132,137
31,62,72,91,105,196,198
33,65,73,80,90,91,95
19,28,65,71,80,127,141
31,33,72,90,91,165,198
1,33,62,65,71,91,141
25,65,73,86,91,139,196
9,11,28,31,65,73,198
33,42,65,71,91,141,188
39,42,62,65,90,172,198
33,89,91,95,96,137,188
1,11,31,62,72,91,95
9,28,31,54,106,139,198
33,42,62,65,71,95,188
71,80,91,95,145,165,198
33,50,55,71,73,91,95
65,71,83,90,95,137,198
1,33,65,71,90,91,198
11,31,33,62,90,91,95
9,31,91,108,126,137,198
33,42,62,91,95,137,193
1,33,65,71,73,91,95
3,33,71,73,91,137,176
71,73,90,91,95,176,193
31,65,72,90,91,165,198
33,42,62,90,95,188,193
31,33,65,72,108,132,137
25,65,86,91,101,138,139
19,35,48,62,91,196,198
33,62,73,91,137,149,198
42,65,71,73,137,188,198
9,11,31,33,55,65,73
20,33,91,137,157,159,198
31,33,53,65,73,140,183
11,16,73,154,170,193,198
9,16,28,73,115,193,198
21,62,65,71,73,137,149
33,62,65,71,73,91,95,137
42,73,90,91,137,138,196,198
62,73,89,90,137,188,193,198
33,62,71,89,90,124,137,188
8,42,65,71,73,91,95,188
35,62,71,91,137,168,184,196
31,33,72,90,91,119,165,198
42,62,65,90,137,138,196,198
9,60,65,73,82,90,137,198
33,42,62,65,90,91,95,137
1,23,56,60,65,73,90,95
9,11,33,55,65,90,91,130
26,35,80,91,95,139,145,198
33,42,55,62,71,73,90,137
42,65,71,73,90,91,138,198
33,60,71,90,95,137,188,198
33,71,90,91,137,152,193,198
42,62,66,90,91,95,137,165
35,62,65,66,90,91,95,188
42,62,65,71,73,91,138,198
1,28,33,65,73,90,141,154
2,33,65,72,90,91,137,165
9,11,33,41,65,73,74,107
71,73,90,95,124,137,193,198
33,62,65,69,90,137,165,198
1,29,33,65,73,90,141,154
33,62,71,73,91,95,136,198
33,35,62,65,66,90,91,188
2,9,31,65,73,90,188,198
62,73,80,90,91,95,156,198
12,62,65,73,90,135,137,138
33,62,71,90,91,95,193,198
24,71,73,90,138,193,196,198
9,11,31,55,65,90,91,130
33,62,65,72,95,129,165,198
19,65,71,90,91,137,139,196
62,65,73,90,137,138,196,198
8,33,40,59,86,91,132,193
31,62,65,72,90,95,175,198
2,9,31,33,73,91,137,198
19,30,33,65,72,90,91,198
41,42,55,65,73,90,95,139
45,55,62,65,73,90,91,95
42,62,71,90,91,138,139,198
19,31,33,81,90,137,188,198
8,31,33,40,65,72,86,90
9,19,31,33,90,137,188,198
62,71,90,91,137,139,168,184
33,42,55,62,71,91,135,137
71,90,91,95,137,160,165,193
33,62,73,95,136,137,193,198
9,33,91,145,148,162,193,198
39,42,62,65,90,91,137,198
35,62,65,80,91,145,198,200
33,35,90,91,137,159,189,193
62,73,91,95,136,137,193,198
28,33,60,65,132,154,180,198
9,60,73,82,90,137,154,198
9,60,65,73,82,90,137,154
33,62,71,91,96,152,165,193
42,62,71,73,91,137,138,198
2,21,33,73,91,111,137,198
9,11,31,65,93,116,165,198
2,33,62,73,91,108,111,198
62,73,90,91,120,193,196,198
9,28,33,60,65,73,180,198
9,28,33,73,132,154,192,198
22,42,55,62,65,71,73,137
6,33,45,55,62,90,122,137
19,20,24,72,90,91,196,198
1,8,31,33,65,86,90,175
31,33,65,90,91,137,165,198
9,15,28,33,73,132,154,192
33,42,75,91,126,137,152,198
2,31,44,90,91,137,165,198
55,62,65,71,90,91,95,137
31,33,72,91,129,132,137,165
33,42,75,91,129,137,152,198
33,55,65,73,90,91,95,137
1,35,65,72,90,91,175,198
33,56,62,71,90,96,123,162
1,28,29,33,65,90,141,154
28,29,33,65,73,90,141,154
62,66,90,137,159,179,189,198
62,65,72,91,129,132,165,198
33,42,65,73,90,91,95,188
39,62,72,80,91,132,138,196
42,65,73,91,137,138,139,198
1,56,60,62,65,71,73,198
31,33,65,72,76,90,95,198
6,9,33,53,73,128,137,154
16,33,71,91,95,96,115,198
33,42,71,75,96,126,152,165
9,11,31,65,81,90,91,130
33,41,42,56,62,65,71,95
33,35,90,91,137,189,193,198
31,33,65,72,91,129,132,137
33,44,62,65,72,137,165,198
33,62,89,91,95,137,160,165
66,71,120,137,139,179,189,198
33,42,51,62,95,96,115,198
33,42,62,90,91,137,165,193
9,16,20,31,53,91,115,162
9,39,55,91,105,137,172,196
9,15,28,33,73,132,192,198
6,45,55,62,90,95,122,137
9,15,28,73,132,154,192,193
8,33,62,73,90,91,137,188
62,66,71,73,91,95,139,198
6,33,45,55,62,71,73,90
42,62,65,137,138,139,150,196
62,65,66,90,95,137,188,198
42,62,71,73,90,95,137,198
6,9,65,73,107,128,137,154
1,28,33,65,71,73,90,154
9,28,33,60,73,132,180,198
42,62,65,71,73,90,91,188
42,62,71,73,90,120,137,196
62,71,89,91,95,165,193,198
26,65,80,91,95,139,198,200
2,33,44,72,91,137,165,198
6,22,55,65,71,73,90,137
33,42,71,91,129,137,152,198
9,42,65,91,137,138,196,198
33,35,62,71,90,95,137,198
31,65,72,86,90,122,165,175
33,49,60,62,65,90,98,198
42,60,62,71,90,95,188,198
34,42,66,71,73,90,91,198
39,42,55,65,71,73,137,196
42,62,65,137,138,139,196,198
39,62,65,72,88,91,132,138
9,28,33,65,73,154,180,198
9,15,28,73,132,192,193,198
19,31,33,35,65,91,137,198
22,33,62,71,73,90,91,137
31,33,53,62,72,91,95,137
9,15,33,73,132,192,193,198
39,65,72,91,132,138,198,200
9,33,60,65,132,154,180,198
35,62,65,72,90,91,137,198
31,55,65,91,105,172,187,196
16,73,87,90,91,95,162,198
39,42,62,65,90,137,138,198
8,41,42,65,71,91,95,186
22,33,55,71,73,90,91,137
33,73,91,95,136,137,193,198
31,39,55,65,105,172,187,196
33,55,65,71,73,90,91,137
9,16,19,20,31,53,91,115
39,42,62,71,73,90,91,138
33,35,62,71,95,137,159,198
21,39,65,66,73,137,138,198
33,35,62,71,91,137,159,198
2,8,9,31,53,65,91,188
33,62,65,72,95,132,137,198
33,42,62,73,90,96,193,198
39,62,65,72,88,91,132,196
55,62,65,73,90,135,139,196
1,8,31,62,65,86,90,91
1,17,56,65,73,90,141,198
33,42,62,65,71,73,91,137
31,33,73,91,123,145,148,162
2,33,44,65,72,90,137,165
9,15,28,33,73,132,154,198
33,62,73,91,95,136,137,193
33,49,60,62,65,71,165,198
42,62,69,71,73,91,135,137
21,33,62,73,91,111,137,198
33,35,90,91,137,159,189,198
1,8,33,40,62,86,91,175
22,42,55,71,73,91,95,137
71,73,80,91,95,138,139,198
9,28,33,41,65,73,74,90
57,62,71,80,90,138,139,196
8,33,53,73,90,91,176,188
42,73,90,120,138,139,196,198
12,55,62,73,137,138,139,196
41,61,65,91,95,138,139,186
57,71,73,80,90,91,139,198
1,11,33,62,73,95,185,198
9,33,60,65,73,82,154,198
9,15,73,132,154,192,193,198
2,21,62,73,108,111,137,198
22,33,42,65,73,90,95,137
33,71,90,95,137,159,189,193
31,35,65,72,90,91,137,198
19,33,42,65,69,71,90,137
1,11,31,62,73,90,95,198
33,42,51,56,62,71,91,198
39,65,72,80,88,91,138,196
2,21,33,73,91,108,137,198
42,62,91,137,152,165,193,198
20,33,35,72,90,91,95,137
39,42,62,65,71,90,196,198
60,62,65,71,73,90,95,112
32,34,62,65,66,73,137,198
6,22,65,71,73,91,95,137
39,42,65,71,73,91,138,196
20,24,31,48,90,137,143,196
33,49,62,65,95,98,165,198
2,9,31,65,90,137,188,198
1,29,33,65,71,90,141,154
33,40,59,62,72,117,183,193
15,28,33,73,132,192,193,198
28,33,60,65,73,154,180,198
20,31,33,35,90,91,95,137
33,65,66,73,95,137,188,198
6,22,33,55,65,90,91,95
37,42,65,66,71,90,91,198
33,35,62,71,90,159,189,198
42,62,71,73,90,91,138,139
19,33,42,65,71,91,137,165
33,42,55,56,62,71,73,91
31,33,40,53,62,72,90,91
2,65,72,90,91,137,165,198
42,71,73,90,91,137,138,139
9,31,39,65,90,91,105,137
62,71,80,91,138,139,196,198
49,60,65,90,98,137,165,198
2,33,53,73,107,128,137,154
33,62,71,73,91,95,193,198
33,71,73,124,137,188,193,198
1,33,62,65,71,90,95,112
58,65,73,91,95,108,132,198
18,31,40,65,72,86,91,175
42,71,73,90,91,138,139,198
9,28,60,65,73,132,154,180
39,42,62,65,71,73,137,138
1,29,65,71,73,90,141,154
9,31,39,55,65,90,91,172
39,62,80,88,91,132,196,200
33,58,62,65,95,108,137,198
14,31,40,62,65,86,165,175
19,65,91,105,138,191,196,198
1,28,29,33,71,73,90,154
62,71,90,95,121,137,193,198
33,62,71,89,90,165,193,198
2,31,44,62,72,90,91,198
42,62,73,90,96,121,193,198
37,42,65,66,71,73,90,139
22,33,42,55,62,71,73,90
16,33,62,71,90,115,156,198
19,24,62,90,91,120,138,158
42,62,65,71,73,90,91,138
9,11,31,33,55,65,81,91
24,62,71,90,91,120,196,198
21,34,39,65,66,73,137,198
42,62,65,69,71,90,91,137
9,31,33,53,91,137,176,188
11,31,33,55,65,81,91,130
42,46,62,65,71,80,139,141
12,55,62,65,71,73,137,196
62,73,90,120,137,138,196,198
19,33,35,48,65,72,137,198
1,33,35,40,61,62,90,91
2,21,33,62,73,91,108,137
35,62,90,91,95,137,193,198
57,71,73,80,90,138,139,196
42,62,65,73,90,139,196,198
42,65,73,90,91,137,196,198
62,73,89,90,95,124,137,188
2,21,33,62,73,108,111,137
9,28,33,65,132,154,180,198
62,65,72,88,91,132,138,196
2,21,33,62,73,91,111,137
2,31,33,65,90,91,188,198
15,33,73,132,154,192,193,198
33,71,73,89,95,188,193,198
62,71,89,90,91,165,193,198
42,62,65,71,90,92,138,139
8,53,65,73,90,137,176,188
6,45,62,65,90,95,122,137
31,33,62,65,91,95,132,137
6,22,55,62,71,91,95,137
12,55,65,71,135,137,138,139
19,33,69,71,90,91,137,198
9,11,31,65,90,93,116,154
31,33,89,91,95,119,137,165
33,62,71,91,95,96,137,188,193
62,73,78,120,123,124,139,190,196
33,65,66,72,91,95,129,137,198
1,33,62,65,71,73,91,141,198
33,42,62,66,90,91,137,188,198
19,28,33,35,65,71,80,141,200
11,31,33,62,65,90,91,95,198
62,65,70,90,91,137,138,151,196
9,19,33,42,65,90,93,113,165
41,55,62,71,73,135,138,139,164
33,65,66,71,90,95,100,165,198
20,30,33,48,69,72,91,126,198
20,62,72,78,90,97,143,156,198
8,42,56,65,71,90,91,141,155
9,11,28,31,33,65,90,154,198
41,55,62,71,73,78,135,139,196
42,65,66,71,91,95,137,188,198
9,11,28,31,33,65,73,93,154
9,31,42,55,65,73,84,90,139
33,62,72,80,95,132,193,197,198
21,62,65,71,73,134,138,196,198
19,62,65,72,90,98,165,182,198
4,41,55,71,73,91,95,126,145
9,19,28,31,54,106,139,192,198
33,42,62,65,66,71,95,188,198
21,38,39,62,65,71,142,196,198
31,33,65,73,90,91,137,188,198
19,48,62,65,72,91,105,137,196
27,33,50,55,62,65,91,95,145
1,33,62,65,73,80,90,95,198
33,42,73,90,91,95,96,162,198
27,33,50,55,62,65,71,91,95
22,33,42,55,63,65,73,95,137
1,33,65,71,73,90,91,141,198
1,33,56,62,65,71,73,91,141
33,62,72,80,91,95,193,197,198
19,62,65,72,90,91,125,137,198
39,42,62,71,90,137,172,196,198
1,33,56,62,65,73,90,91,141
19,55,62,65,71,90,103,137,139
19,28,33,65,71,127,141,198,200
28,33,35,65,71,80,127,141,198
3,55,71,73,90,95,137,176,193
33,65,71,90,91,95,137,165,198
9,31,33,42,65,73,108,126,198
1,33,65,71,73,90,91,95,198
22,33,42,55,62,65,73,95,137
33,42,62,66,69,73,90,137,188
33,42,62,65,91,95,129,177,198
11,33,36,65,90,154,165,182,198
1,33,65,73,80,90,91,95,198
9,31,33,44,68,91,137,165,198
41,55,71,73,135,138,139,164,196
9,11,31,33,65,73,90,93,154
62,65,73,125,137,139,150,163,198
33,42,62,73,90,91,166,188,198
25,31,33,65,72,95,129,137,198
9,11,31,33,55,65,73,107,154
27,33,55,62,65,71,73,91,95
3,16,33,55,71,73,115,144,154
25,33,52,65,72,91,129,137,198
42,62,66,90,91,95,137,188,198
33,42,62,65,71,73,91,141,188
1,11,31,33,72,90,91,95,198
33,42,62,71,91,95,96,188,193
9,31,33,42,73,91,108,126,198
13,31,65,73,137,139,150,154,198
1,33,65,71,73,80,90,91,198
33,42,65,66,73,90,95,137,198
1,33,56,62,65,71,73,95,192
19,28,33,35,71,80,141,198,200
33,62,65,66,69,71,73,137,188
56,62,65,71,91,95,129,177,198
22,42,55,62,63,71,73,95,137
27,33,50,62,65,73,91,95,145
19,62,65,71,90,91,103,137,139
31,73,90,125,137,139,150,163,198
21,33,65,69,71,73,91,137,198
9,11,33,73,115,154,170,193,198
21,38,39,62,137,142,173,196,198
19,31,48,65,91,105,137,196,198
31,62,65,72,90,91,137,165,198
33,62,71,73,90,95,115,193,198
3,16,28,33,45,71,73,115,144
42,73,90,95,96,137,166,188,193
1,33,56,62,65,90,91,141,198
9,28,31,54,65,106,139,192,198
7,40,62,72,86,90,172,175,196
33,62,71,73,91,95,137,167,198
33,55,62,65,73,91,137,149,181
1,33,62,65,71,73,90,91,95
27,50,55,65,71,73,91,95,145
19,28,31,54,65,139,165,192,198
9,19,28,31,54,65,106,192,198
42,62,66,71,73,91,95,137,188
33,65,66,73,90,91,95,137,198
8,33,62,65,73,91,95,137,183
9,19,65,90,91,93,113,165,198
21,33,62,65,71,73,137,178,198
9,11,28,31,65,73,93,154,198
66,71,90,91,95,100,137,165,198
33,42,65,66,69,71,73,90,137
33,65,66,73,90,91,95,137,188
33,42,55,62,65,71,85,90,137
13,31,42,65,73,137,139,150,154
9,31,41,42,55,73,84,90,91
9,11,28,36,65,154,165,182,198
33,55,62,65,71,73,91,95,145
33,62,80,91,108,132,193,197,198
19,38,42,62,65,71,91,137,196
17,62,78,90,120,138,150,196,198
65,70,90,91,137,139,151,196,198
2,31,33,65,73,90,91,94,137
31,42,77,91,109,126,129,137,165
33,42,65,66,71,73,90,91,95
22,40,42,62,71,90,91,95,137
42,62,66,71,73,91,137,188,198
33,62,71,73,90,115,193,198,199
62,65,70,90,91,139,151,196,198
1,33,56,62,65,73,90,91,198
1,17,54,62,71,73,141,145,178
1,33,62,71,73,90,91,141,198
4,33,41,65,71,73,91,95,145
25,33,52,65,66,72,91,137,198
19,55,62,65,71,90,103,137,196
21,39,62,65,71,91,134,138,198
27,33,50,55,62,65,73,95,145
19,33,62,65,72,90,98,137,182
25,31,65,72,91,95,126,129,198
31,35,48,65,90,91,100,137,196
19,38,42,62,91,137,139,196,198
9,19,33,65,91,93,113,165,198
33,42,62,65,71,95,137,188,198
25,31,33,65,95,126,129,137,198
28,33,45,55,71,73,115,144,154
39,71,73,91,137,172,184,196,198
1,33,62,65,71,73,90,93,198
11,28,31,33,65,73,93,154,198
33,62,71,90,91,96,188,193,198
31,62,65,72,90,91,95,165,198
62,65,71,90,91,95,137,188,198
11,28,31,33,65,73,90,93,198
33,62,65,80,91,95,165,198,200
1,33,56,62,65,71,91,141,198
39,42,62,65,90,91,137,172,198
33,62,69,71,73,90,133,188,198
9,11,31,33,65,73,90,154,198
62,65,70,90,91,137,151,196,198
19,55,65,90,91,103,137,139,196
9,31,33,42,73,131,154,193,198
9,11,28,31,65,73,90,93,198
1,11,31,62,65,72,90,91,95
33,42,62,90,91,95,96,188,193
3,33,55,71,73,91,137,176,193
65,73,90,125,137,139,150,163,198
21,33,62,65,69,71,73,137,198
19,38,42,65,91,137,139,196,198
62,66,71,73,90,95,137,188,198
28,33,35,65,71,80,141,198,200
19,33,65,71,80,127,141,198,200
31,62,65,72,91,95,132,137,184
33,42,62,65,71,73,91,95,137
9,33,42,73,90,131,154,193,198
65,68,72,90,91,95,137,165,198
19,31,35,62,65,90,105,137,198
19,31,62,65,91,105,125,137,198
19,33,42,65,90,93,113,165,198
9,11,28,31,33,55,73,90,107
19,38,42,62,65,71,91,137,139
1,33,62,65,71,73,90,91,198
21,33,62,71,73,91,137,149,198
19,55,62,71,90,91,103,137,196
33,62,89,91,95,96,137,188,193
19,38,42,71,91,137,139,196,198
19,33,62,65,72,90,137,165,182
9,31,42,90,131,137,154,193,198
42,62,65,71,73,95,137,188,198
9,31,42,65,73,137,139,150,198
9,44,65,68,90,91,137,165,198
33,62,65,72,90,91,95,165,198
33,62,65,72,90,95,137,165,198
25,31,33,65,72,91,95,126,137
21,39,62,65,137,142,173,196,198
33,65,71,80,91,95,165,198,200
21,33,62,65,69,71,73,91,137
42,62,71,73,91,172,184,196,198
33,62,71,73,91,96,137,188,198
33,62,71,80,91,145,165,198,200
1,11,31,33,62,72,90,91,95
41,55,71,73,78,135,138,139,164
31,62,65,72,91,95,108,132,137
9,19,42,90,91,93,113,165,198
31,33,62,72,90,91,137,165,198
9,31,42,65,73,91,126,137,198
1,33,56,65,71,73,90,93,198
21,38,39,62,65,137,142,196,198
17,33,54,62,80,141,145,178,198
2,33,65,90,91,94,137,188,198
1,33,62,65,73,80,90,91,198
33,72,91,95,108,132,193,197,198
55,71,73,90,91,95,137,176,193
21,38,39,65,71,137,142,173,198
31,68,72,90,91,95,137,165,198
11,16,33,77,91,123,126,145,148
33,42,56,62,65,95,129,177,198
19,38,42,62,71,91,139,196,198
9,28,41,65,79,90,92,107,161
33,62,65,66,71,73,90,91,137
33,62,65,71,73,91,137,149,198
42,62,71,73,95,96,188,193,198
9,11,28,33,36,90,165,182,198
41,55,62,71,73,78,135,164,196
11,28,31,33,55,65,90,107,154
1,33,62,65,71,73,91,95,198
33,50,55,62,65,71,91,95,145
33,55,71,90,91,95,137,176,193
31,33,65,72,95,126,129,137,198
19,35,48,62,65,91,137,196,198
11,28,31,33,55,65,73,107,154
9,41,42,55,65,73,90,91,139
33,42,73,90,91,95,166,188,193
1,33,54,62,71,80,145,178,198
25,33,52,65,72,95,129,137,198
33,42,62,65,66,71,90,91,137
33,56,62,65,71,73,90,95,198
39,42,62,71,91,137,184,196,198
